,commit,pred,prob,label,fold
0,33877ac5ed20985a33a7e9ac42f78d2e8e50de9e,0,0.13,0,1
1,d05fac054e8e4f3b03794540a759ad02f340be0e,0,0.26,0,1
2,be1632f3e3852939ff518efd30ba6199f042e43c,0,0.1,0,1
3,add45005fc374be9199f8f63f0c0f1b172c1a21d,0,0.21,0,1
4,f2fe7245053cfc6a7ab9eaf0ed4b3e5903fb90f6,0,0.0,0,1
5,746c998e1a2a380f6bd844886bca6d0b3a76b1e7,0,0.06,0,1
6,f465d0aa697339ea7b165aee43199887433aa454,0,0.005,0,1
7,dbe216ce600a65214366c4c5a26262f0587a4163,0,0.01,0,1
8,0ee65b7169fe4cf27c8625da9750a994172e0be5,0,0.01,0,1
9,6e85e1c83761acfc56485b1bc22331c9bed79676,0,0.055,0,1
10,f040e261bfdd835d6b1908d17b03503b85dd9ced,0,0.12,0,1
11,87b597c622e5e83beb5e45cdc4bd06266a3f9020,0,0.25,0,1
12,13f4032d6c103bfaaabe89f2cd36dffaff5a10b6,0,0.27,1,1
13,5827a6faad6e0b102f9b1e387e0c31dbe6a732cf,0,0.135,0,1
14,5add6876dca051fdfcdcd57c9cf65e956a8ec104,0,0.0,0,1
15,12983d5e048250c5b598fc94ec8fbd3383612ee8,0,0.025,0,1
16,8d97496f8df4ce634bc7e58fcfbc635da32a3edb,0,0.03,0,1
17,2e16492cbfdd1de397ce92f578d3be081b49355b,0,0.04,0,1
18,8fd9c6eee09e81ac8e17a21c52bd0152a5d1e870,0,0.015,0,1
19,e3ec8ebcf05cdad207715fd456e6fc8110b93e08,0,0.0,0,1
20,aef4dd02f9147051ac5350f28b7d7073cb8573a8,0,0.0,0,1
21,1b434bcd8eff04331b74d3cc912e328b521d13d6,0,0.0,0,1
22,6c8f74edd87205eb8c1363b2c018e7458aac8c10,0,0.025,0,1
23,def7c9911aeaaf9eacba0c1560b38fdca33e3083,0,0.32,0,1
24,1a44ba4b6152cdafe636c867fd973e8cd1348078,0,0.0,0,1
25,bd0008e809e1b735100f3ef8003d0acffcb9b7cf,0,0.32,0,1
26,c2811e767df538f8ff25d9922d1bcb53792f9b46,0,0.0,0,1
27,efb3e07afe66351f9879601d4bb3dd4b6d89f059,0,0.0,0,1
28,d880dddc55707fcfa4a59b5a8ff3b0b49bd5c4ba,0,0.0,0,1
29,4104b213685843ad6644fd02b4f4d92ec537ab8f,0,0.01,0,1
30,b6e62ab83aab52e53a29f8e547f1d934e73b2a9a,0,0.005,0,1
31,bfdf1c44af26540c3749806e300ed0ff580efcda,0,0.005,0,1
32,ef205a5d1a6e43413ba9efe86f13364c7b1a92be,0,0.005,0,1
33,5396f1e119b6e9ab7f58b66a67e38bcda9a6d989,0,0.03,0,1
34,6ec0872f2844de1b39d1c00e76ecb963edba35c2,0,0.045,0,1
35,44b2830b882874f620f6a014d80486f91c999f21,0,0.0,0,1
36,db540a6b917f5693d3a58b4be8b9453310642187,0,0.035,0,1
37,c25dbeec0f802672b9acad924ad235d67c2f5ae8,0,0.12,0,1
38,d7c0f27e9fac104f613dcb672c243d3dc7eaf655,0,0.015,0,1
39,63a48705a496bf2506121dcddbd8cac2a78f877c,0,0.075,0,1
40,a49e443c44766df45d254e13bea377d4133f5ee6,0,0.005,1,1
41,107d7f3ea8db440cb2f0a9d626c87a34ad061bae,0,0.0,0,1
42,ebc0d3d309385831e3fd83a7a0da155c0ac2b27e,0,0.0,0,1
43,72779b230040d8dcc0c39d9791fc6c9d8fd2d142,0,0.14,0,1
44,e64d8653d1a4a653dc47da9f398d31955700ebae,0,0.1,0,1
45,b451fdc8e47d231c7f29c74aa5b9f7a7d0e50c9e,0,0.05,0,1
46,0062503cf99a95641cbe11452c9aab047e80871f,0,0.01,0,1
47,31c3a82d4cb252dd874b9882f5520fcf45252c01,0,0.0,0,1
48,7d077b14310213b90e1e34eaa4f655580393d043,0,0.0,0,1
49,2166fdac3d13cb044b5e6d8e5f6093aeaa17d6b1,0,0.0,0,1
50,f20ae062d38133e09679104c1e38857a080997c1,0,0.0,0,1
51,5553c9784284a4ba0e7a9fe00aa607b372722043,0,0.095,0,1
52,f51a7ca5fef18c31078d80cff428c1e365e562c7,0,0.0,0,1
53,159ca6ebb90f83b701436aca8a84aec8bc60776a,0,0.0,0,1
54,28a66efb7637d26152c3e42e5f851be679dc5719,0,0.335,0,1
55,463896f1cceea99ecd1743d34706143eba00ac93,0,0.0,0,1
56,4bef9360676b78378c456475408f51859d7b6f80,0,0.005,0,1
57,b19f70ba00cd9d81745127ffa17ce0753c0236ee,0,0.225,0,1
58,438938e5581eee15af64b6b93a94811b926c4b62,0,0.005,0,1
59,0d7c65f4bd505107349ce5d7ec8115c2e4b721e6,0,0.005,0,1
60,758d1329be16563e3f824c44d5bec6bf8f3e65ea,0,0.0,0,1
61,c03c4a399eeb108b7a8e05a77182d08ec4ae63f2,0,0.0,0,1
62,30a037d2402e4c281ab789c34af15dddf3bc43b6,0,0.065,0,1
63,063515d0aaf538de9aea7926a87883295c1b41c7,0,0.085,0,1
64,85ea9b32bdf8185c81ef2160f060d48f40b9a680,0,0.0,0,1
65,5e76de1cc99591e9e82358f6bf568716364d8c80,0,0.0,0,1
